Field,Method,Open Mean,Open Std,Closed Mean,Closed Std
morder,brain_source,64.8235,6.60206318397094,66.5210084033613,7.24492661704516
morder,source,65.437,10.5498322385747,70.563025210084,10.3191763692669
morder,pca,54.6975,7.42596751882585,61.0588235294118,8.74913469585543
morder,region,43.0504,11.3748523845857,51.5294117647059,15.9096088273998
rhoA,brain_source,0.96562,0.0300511668149217,0.968830468410139,0.0293935472139807
rhoA,source,0.97605,0.00966028293983801,0.977406789610053,0.00858426718077981
rhoA,pca,0.97335,0.010715159225194,0.979609072467967,0.00861895930830517
rhoA,region,0.96591,0.0120044901003381,0.971475410970456,0.00931873954446943
rhoB,brain_source,0.98981,0.000938270983273095,0.98971254522519,0.00131295385575586
rhoB,source,0.9462,0.012480432365546,0.948174414347063,0.0131946491627491
rhoB,pca,0.93772,0.00864841312389526,0.939938896779729,0.00811498579748246
rhoB,region,0.92968,0.0102307481107456,0.928965340681721,0.00993162996722648
acdec,brain_source,1811.9244,301.734931368349,1895.94117647059,815.386508060697
acdec,source,914.9412,383.293738183665,941.201680672269,342.876579559921
acdec,pca,804.2689,354.883310912264,1012.83193277311,373.966288685693
acdec,region,595.3445,233.248701087262,695.941176470588,244.789300409994
sigspd,brain_source,0,0,0,0
sigspd,source,0,0,0,0
sigspd,pca,0,0,0,0
sigspd,region,0,0,0,0
mii,brain_source,155.5531,10.9069363040693,155.543878380657,9.4421687370696
mii,source,19.9439,2.01844865995764,21.3560731884118,2.10033270324931
mii,pca,2.6496,0.773449650129792,2.84909494540575,0.865140744914064
mii,region,0.75448,0.291124479593001,0.859325895349329,0.386818956637127
mmii,brain_source,53.9134,1.42709431638275e-14,53.9133845625538,1.42709431638275e-14
mmii,source,11.8263,0,11.8263400547626,0
mmii,pca,6.4766,2.67580184321765e-15,6.47664488210982,2.67580184321765e-15
mmii,region,2.3795,0,2.37954613413017,0
